ap,vc,f,Ra
0.25,350,0.07,0.391
0.25,350,0.07,0.359
0.25,350,0.07,0.421
0.25,350,0.07,0.45
0.25,350,0.07,0.36
0.25,350,0.07,0.383
0.25,350,0.13,1.181
0.25,350,0.13,1.139
0.25,350,0.13,1.146
0.25,350,0.13,1.125
0.25,350,0.13,1.191
0.25,350,0.13,1.181
0.25,350,0.1,0.612
0.25,350,0.1,0.621
0.25,350,0.1,0.628
0.25,350,0.1,0.628
0.25,350,0.1,0.724
0.25,350,0.1,0.618
0.25,390,0.1,0.709
0.25,390,0.1,0.692
0.25,390,0.1,0.703
0.25,390,0.1,0.731
0.25,390,0.1,0.734
0.25,390,0.1,0.735
0.25,390,0.13,1.111
0.25,390,0.13,1.086
0.25,390,0.13,1.149
0.25,390,0.13,1.086
0.25,390,0.13,1.115
0.25,390,0.13,1.07
0.25,390,0.07,0.362
0.25,390,0.07,0.293
0.25,390,0.07,0.316
0.25,390,0.07,0.309
0.25,390,0.07,0.326
0.25,390,0.07,0.324
0.25,310,0.1,0.681
0.25,310,0.1,0.677
0.25,310,0.1,0.684
0.25,310,0.1,0.667
0.25,310,0.1,0.671
0.25,310,0.1,0.67
0.25,310,0.07,0.227
0.25,310,0.07,0.247
0.25,310,0.07,0.264
0.25,310,0.07,0.219
0.25,310,0.07,0.211
0.25,310,0.07,0.235
0.25,310,0.13,0.832
0.25,310,0.13,0.8
0.25,310,0.13,0.846
0.25,310,0.13,0.798
0.25,310,0.13,0.847
0.25,310,0.13,0.856
0.5,310,0.07,0.256
0.5,310,0.07,0.257
0.5,310,0.07,0.243
0.5,310,0.07,0.292
0.5,310,0.07,0.264
0.5,310,0.07,0.303
0.5,310,0.13,1.133
0.5,310,0.13,1.046
0.5,310,0.13,1.098
0.5,310,0.13,1.115
0.5,310,0.13,1.121
0.5,310,0.13,1.118
0.5,310,0.1,0.501
0.5,310,0.1,0.521
0.5,310,0.1,0.538
0.5,310,0.1,0.52
0.5,310,0.1,0.511
0.5,310,0.1,0.514
0.5,390,0.1,0.567
0.5,390,0.1,0.596
0.5,390,0.1,0.544
0.5,390,0.1,0.55
0.5,390,0.1,0.532
0.5,390,0.1,0.532
0.5,390,0.07,0.37
0.5,390,0.07,0.342
0.5,390,0.07,0.371
0.5,390,0.07,0.355
0.5,390,0.07,0.363
0.5,390,0.07,0.36
0.5,390,0.13,0.519
0.5,390,0.13,0.495
